source_file,row_number,field,raw_value,issue_type,detail,action_taken
dictee_entities.csv,4,Evidence Type,Biographical(Q16),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,5,Evidence Type,Textual(Q17),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,36,Evidence Type,Direct Term (Q1),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,37,Evidence Type,Synthesis(Q2),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,38,Evidence Type,Modeling(Q3),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,71,Evidence Type,—,Evidence Type 미기재,값이 비어있거나 자리표시자(—)만 있음,"빈 문자열로 정규화, UI에서 '미기재'로 표시"
entity_qid_crosswork.csv,37,Wikibase QID,dict:concept/muse-subversion,QID 미확보,이 엔티티는 아직 Wikibase에 매핑되지 않음,"wikibaseUrl=null로 두고, 프론트엔드에서 '미등록' 배지 표시"
entity_qid_crosswork.csv,38,Wikibase QID,dict:concept/novena-structure,QID 미확보,이 엔티티는 아직 Wikibase에 매핑되지 않음,"wikibaseUrl=null로 두고, 프론트엔드에서 '미등록' 배지 표시"
entity_qid_crosswork.csv,39,Wikibase QID,dict:object/acupuncture-chart,QID 미확보,이 엔티티는 아직 Wikibase에 매핑되지 않음,"wikibaseUrl=null로 두고, 프론트엔드에서 '미등록' 배지 표시"
entity_qid_crosswork.csv,40,Wikibase QID,dict:object/vocal-anatomy,QID 미확보,이 엔티티는 아직 Wikibase에 매핑되지 않음,"wikibaseUrl=null로 두고, 프론트엔드에서 '미등록' 배지 표시"
