subject_uri,relationship_property_uri,object_uri,page_ref,note,REVISED
dict:person/cha-theresa,dict:rel/sharesNameWith,dict:person/therese-lisieux,ERATO,Cha explores multiple Theresa/Thérèse figures; supports name-lineage projection.,
dict:person/therese-lisieux,dict:rel/performsAs,dict:person/jeanne-darc,p.93,Saint Thérèse pictured performing as Joan of Arc.,
dict:person/falconetti,dict:rel/performsAs,dict:person/jeanne-darc,p.119,Falconetti performs Joan of Arc in Dreyer's film.,
dict:person/cha-theresa,dict:rel/performsMediation,dict:person/yu-gwansoon,pp.24-38,Cha as authorial mediator for Yu Gwan-sun's silenced voice.,
dict:person/diseuse,dict:rel/performsMediation,dict:person/yu-gwansoon,p.3,DISEUSE channels voices of silenced women including Yu Gwan-sun.,
dict:person/yu-gwansoon,dict:rel/hasPostcolonialParallel,dict:person/jeanne-darc,p.28,'Korean Joan of Arc' — ritual naming linking both figures.,
dict:person/yu-gwansoon,dict:rel/hasExchangeableIdentity,dict:person/empress-myeongseong,CLIO,Cha conflates Empress assassination date into 1919 frame of Yu.,
dict:person/cha-theresa,dict:rel/mythologicalParallelOf,dict:person/persephone,"pp.123,133",Persephone myth as structural frame for exile/return.,
dict:person/huh-hyungsoon,dict:rel/mythologicalParallelOf,dict:person/demeter,p.133,Demeter as mother figure paralleling Huh Hyung Soon's waiting in exile.,
dict:person/diseuse,dict:rel/mythologicalParallelOf,dict:person/sibyl,p.88,'diseuse de bonne aventure' linked to Sibyl as prophetic/medium figure.,
dict:person/princess-bari,dict:rel/mythologicalParallelOf,dict:person/diseuse,pp.165-179,Bari: first mudang who journeys for healing water ↔ Diseuse as textual shaman.,
dict:event/japanese-colonization,dict:rel/silences,dict:person/huh-hyungsoon,p.45,'They say you spoke in tongue forbidden' — Japanese colonial rule forecloses mother's Korean.,
dict:event/japanese-colonization,dict:rel/silences,dict:person/yu-gwansoon,pp.28-38,Colonial power silences Yu Gwan-sun — imprisonment and death in Seodaemun Prison.,
dict:event/gwangju-1980,dict:rel/isRecurrenceOf,dict:event/march-first-1919,p.87,"'Nothing has changed, we are at a standstill.' — 1980 structurally recurs 1919.",
dict:event/april-19-1960,dict:rel/isRecurrenceOf,dict:event/march-first-1919,p.83,"'Dear Mother, 4.19... eighteen years later' — 1960 as second iteration of colonial violence structure.",
dict:object/vocal-anatomy,dict:rel/prefigures,dict:concept/translational-violence,p.74,Western anatomical diagram of speech organs materializes speech as bodily labor.,
dict:object/acupuncture-chart,dict:rel/prefigures,dict:concept/untranslatability,p.63,Eastern meridian chart vs. Western anatomy — two incommensurable knowledge systems.,
dict:object/calligraphy-nyu-nam,dict:rel/subverts,dict:concept/ungendering,pp.26-27,女男 reverses conventional 男女 — father's calligraphy inscribes alternative gender grammar.,
dict:object/korea-map,dict:rel/prefigures,dict:concept/diasporic-experience,p.78,Divided peninsula map: 'SHE opposes Her' — geographic division as diasporic displacement.,
dict:concept/translational-violence,dict:rel/prefigures,dict:concept/untranslatability,—,Translational violence creates the conditions for untranslatability.,
dict:concept/shamanic-mediation,dict:rel/requiresExcavationBy,dict:concept/cyclical-time,p.123,Shamanic mediation operates through cyclical time.,
dict:object/dreyer-still,dict:rel/hasPostcolonialParallel,dict:person/yu-gwansoon,p.119,"Falconetti's silent face — foreclosed speech visualized, parallel to Yu Gwan-sun's silenced voice.",
dict:person/diseuse,dict:rel/embodiesPunctuation,dict:concept/translational-violence,p.4,"'She would become, herself, demarcations.'",
dict:concept/translational-violence,dict:rel/silences,dict:person/huh-hyungsoon,CALLIOPE pp.45-59,Colonial language violence silences Huh Hyungsoon's linguistic subjectivity.,
