Entity ID,Type,Linked Art Class,prefLabel (en),prefLabel (ko),Primary URI,Mapping Status,broader URI,closeMatch URI,Evidence Type,Definition / Scope Note,internal_Definition / Scope Note,Chapter(s),Page References
PERSONS: Historical Figures,,,,,,,,,,,,,
dict:person/cha-theresa,Person,Person,Theresa Hak Kyung Cha,차학경,http://www.wikidata.org/entity/Q7782868,matched,,,Biographical,Author (1951-1982). Born Busan during Korean War. Not singular narrator but dispersed across Diseuse and multiple women's voice.,"Author (1951-1982). Born Busan during Korean War. Not singular narrator but dispersed across Diseuse and multiple women's voices. 'Half-revived, half-buried' authorial presence (Cheng 1998). NOTE: birthdate 1951-03-04 per Wikidata Q7782868 — verify against BAMPFA archive; earlier research context cited 1952.",ALL,Entire work
dict:person/yu-gwansoon,Person,Person,Yu Gwan-sun,유관순,https://www.wikidata.org/wiki/Q490020,matched,,,Textual,"Korean independence activist (1902-1920). Arrested during March 1st Movement, died in Seodaemun Prison age 17. ","Korean independence activist (1902-1920). Arrested during March 1st Movement, died in Seodaemun Prison age 17. Central figure in 'exchangeable identity' strategy: 'Her identity... exchangeable with any other heroine in history.' (p.30)","CLIO, MELPOMENE, ELITERE","pp.24-38, 87"
dict:person/jeanne-darc,Person,Person,Joan of Arc,잔 다르크,http://www.wikidata.org/entity/Q7226,matched,,,Textual,French martyr (1412-1431). Postcolonial parallel to Yu Gwan-sun: both young women martyred by imperial powers.,French martyr (1412-1431). Postcolonial parallel to Yu Gwan-sun: both young women martyred by imperial powers. Incantatory invocation p.28: 'She calls the name Jeanne d'Arc three times.' Also appears through Thérèse's performance and Falconetti's portrayal.,"CLIO, ERATO","p.28, 93, 119"
dict:person/therese-lisieux,Person,Person,Saint Thérèse of Lisieux,리지외의 성 테레사,https://www.wikidata.org/wiki/Q181715,matched,,,Textual,Carmelite nun (1873-1897). Author of Story of a Soul. Shares name 'Theresa' with Cha (Catholic baptismal name from Sacred Heart Convent). Performs as Joan of Arc in 1895 play.,Carmelite nun (1873-1897). Author of Story of a Soul. Shares name 'Theresa' with Cha (Catholic baptismal name from Sacred Heart Convent). Performs as Joan of Arc in 1895 play. Right-page narrative in ERATO split-screen structure.,ERATO,"p.93, ERATO right pages"
dict:person/empress-myeongseong,Person,Person,Empress Myeongseong,명성황후,https://www.wikidata.org/wiki/Q464503,matched,,,Textual,Last Empress of Korea (1851-1895). ,"Last Empress of Korea (1851-1895). Assassination date deliberately altered to 1919 in text — intentional temporal collapse to show colonial violence as recurring structure, not sequential events.",CLIO,CLIO
dict:person/falconetti,Person,Person,Renée Falconetti,르네 팔코네티,https://www.wikidata.org/wiki/Q440600,matched,,,Textual,French actress (1892-1946). Portrays Joan of Arc in Dreyer's silent film La Passion de Jeanne d'Arc (1928). ,French actress (1892-1946). Portrays Joan of Arc in Dreyer's silent film La Passion de Jeanne d'Arc (1928). Silent woman in silent medium — visual signifier of foreclosed speech throughout ERATO.,ERATO,p.119
PERSONS: Cha Family,,,,,,,,,,,,,
dict:person/huh-hyungsoon,Person,Person,Hyung Soon Huh,허형순,,noExternalAuthority,,,Biographical,"Cha's mother (b.1922 Yongjing, Manchuria). Triple-language speaker under colonial rule: Korean forbidden, Japanese enforced, Chinese ambient. Her experience of linguistic displacement under colonial rule is a central narrative thread in the text.","Cha's mother (b.1922 Yongjing, Manchuria). Triple-language speaker under colonial rule: Korean forbidden, Japanese enforced, Chinese ambient. Embodies intergenerational translational violence. Fictional letter form in CALLIOPE. Portrait p.44 also used in Cha's 1977 video Chronology.","CALLIOPE, MELPOMENE, THALIA","pp.44-59, 83"
dict:person/cha-hyungsang,Person,Person,Cha Hyung Sang,차형상,,noExternalAuthority,,,Biographical,"Cha's father. Calligrapher. His brush calligraphy 女男, 父母 placed at center of pages.","Cha's father. Calligrapher. His brush calligraphy 女男 (pp.26-27), 父母 (pp.54-55) placed at center of pages. Daoist cosmological concepts in TERPSICHORE (p.154). Cantonese pronunciation transcription in POLYMNIA (p.173).","CLIO, CALLIOPE, TERPSICHORE","pp.26-27, 54-55, 154, 173"
dict:person/cha-haksang,Person,Person,John Hak Sung Cha,차학성,,noExternalAuthority,,,Biographical,Cha's older brother. Participated in April 19 Revolution demonstrations. His political activity is referenced in the text as a catalyst for the family's subsequent exile to the United States.,Cha's older brother. Participated in April 19 Revolution demonstrations. Tutor's warning: 'they are killing any student in uniform' (p.84). Family's subsequent exile to US motivated by his political activity. 'De.Mo' syllabic split = democracy decomposed.,MELPOMENE,p.84
PERSONS: Mythological & Structural Figures,,,,,,,,,,,,,
dict:person/diseuse,Person,Person,Diseuse,디쇠즈,,noExternalAuthority,,,Textual,French: female monologue performer. Cha's textual shaman who empties self to channel 9 Muses.,"French: female monologue performer. Cha's textual shaman who empties self to channel 9 Muses: 'She allows others. In place of her. Admits others to make full.' (p.3). Not fluent speaker but medium of fragments: 'noise, groan, bits torn from words.' Takes on punctuation as bodily condition: 'She would become, herself, demarcations.' (p.4). Structural frame for entire work. NOTE: Treated as distinct entity from Cha — conflation refused at data level.",DISEUSE → ALL,"pp.3-4, 7, 19"
dict:person/princess-bari,Person,Person,Princess Bari,바리공주,,noExternalAuthority,,,Textual,"Korean shamanic origin myth: abandoned princess journeys to underworld for healing water to save parents, becomes first mudang (shaman)","Korean shamanic origin myth: abandoned princess journeys to underworld for healing water to save parents, becomes first mudang (shaman). Cha's version: not abandoned but loved child, sent by mother to well where mysterious woman gives magic medicine. 'Do not look back' motif. Arrives home at dusk — cure not confirmed.",POLYMNIA,pp.165-179
dict:person/persephone,Person,Person,Persephone,페르세포네,http://www.wikidata.org/entity/Q45967,matched,,,Textual,Greek goddess of spring and the underworld. Her myth of incomplete return from the underworld serves as a structural reference in the text.,Greek goddess of spring/underworld. Structural frame for ELITERE: incomplete return (pomegranate eaten = permanent bond to loss). 'Let the one who is daughter restore spring with her each appearance from beneath the earth.' (p.133). 'Until.' as grammar of unfinished waiting.,"ELITERE, THALIA","pp.123, 133"
dict:person/demeter,Person,Person,Demeter,데메테르,http://www.wikidata.org/entity/Q40730,matched,,,Textual,Greek harvest goddess. Her nine-day search for her daughter is referenced in the text as a figure of waiting and maternal longing.,Greek harvest goddess. Searches 9 days/nights for daughter — parallel to Novena structure and to mother Huh Hyung Soon's waiting in exile. 'Let the one who is mother who waits nine days and nine nights be found.' (p.133).,"MELPOMENE, ELITERE, THALIA","pp.88, 123, 133"
dict:person/sibyl,Person,Person,Sibyl,시빌,https://www.wikidata.org/wiki/Q273320,matched,,,Textual,Prophetess who sees truth but is not believed. Appears in the text as a figure of unheard speech.,Prophetess who sees truth but is not believed. Parallel to diseuse de bonne aventure (fortune-teller). Both speak truth that existing power structures refuse to hear. Connected to Spivak's 'Can the Subaltern Speak?',"MELPOMENE, ELITERE","p.88, 123"
