source_file,row_number,field,raw_value,issue_type,detail,action_taken
dictee_entities.csv,4,Evidence Type,Biographical(Q16),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,4,Evidence Type,Biographical,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,5,Evidence Type,Textual(Q17),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,5,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,6,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,7,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,8,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,9,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,11,Evidence Type,Biographical,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,12,Evidence Type,Biographical,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,13,Evidence Type,Biographical,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,15,Chapter(s),DISEUSE → ALL,Chapter(s)에 특수 토큰(→) 존재,쉼표로 구분되는 일반 목록이 아니라 전이를 나타내는 표기로 보임 — 임의로 분리하지 않음,원문 문자열 그대로 단일 항목으로 보존
dictee_entities.csv,15,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,16,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,17,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,18,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,19,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,20,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,22,Chapter(s),—,Chapter 미기재,값이 비어있거나 자리표시자(—)만 있음,빈 배열로 처리
dictee_entities.csv,22,Evidence Type,Scholarly (Q 55),도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,23,Chapter(s),—,Chapter 미기재,값이 비어있거나 자리표시자(—)만 있음,빈 배열로 처리
dictee_entities.csv,23,Evidence Type,Scholarly,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,24,Chapter(s),—,Chapter 미기재,값이 비어있거나 자리표시자(—)만 있음,빈 배열로 처리
dictee_entities.csv,24,Evidence Type,Scholarly,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,25,Chapter(s),—,Chapter 미기재,값이 비어있거나 자리표시자(—)만 있음,빈 배열로 처리
dictee_entities.csv,25,Evidence Type,Scholarly,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,26,Chapter(s),—,Chapter 미기재,값이 비어있거나 자리표시자(—)만 있음,빈 배열로 처리
dictee_entities.csv,26,Evidence Type,Scholarly,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Person',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,28,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,29,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,30,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,31,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,32,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,33,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,34,Evidence Type,Biographical,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Event',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,36,Evidence Type,Direct Term (Q1),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,37,Evidence Type,Synthesis(Q2),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,38,Evidence Type,Modeling(Q3),Evidence Type에 (Q##) 꼬리표 잔존,prefLabel과 같은 패턴의 꼬리표가 Evidence Type 컬럼에도 섞여 들어감 (QID 크로스워크와는 무관한 값),정규식으로 꼬리표 제거 후 사용
dictee_entities.csv,48,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,49,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,50,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,51,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,52,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,53,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,54,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,55,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,56,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
dictee_entities.csv,57,Evidence Type,Textual,도메인 스키마 위반 (P8 evidenceType),property_schema_map.csv는 evidenceType(P8)의 Domain을 'Concept'로 정의하지만 이 엔티티의 Type='Object',막지 않고 그대로 반영 (연구자 판단 대기) — dictv:evidenceType 필드는 유지
